title,slug
Containers,container
Widget,widget
App Shell,app-shell
Index HTML,index-file
Router,router
Page,page
Proxy,proxy
SSR,ssr
SSG,ssg
Protocol,protocol
MFE,mfe
SEO,seo
API Services,api
Session,session
Auth,authentication
Forms,forms
Link Navigation,links
Images,images
Localization,localization
PWA,pwa
